UFPB - State University of Paraíba|Universidade Federal da Paraíba|Brazil
UFPB - Universidade Federal da Paraíba|Universidade Federal da Paraíba|Brazil
UFPB - Universidade Federal de Paraíba|Universidade Federal da Paraíba|Brazil
UFPB e do PPGE/UFPB|Universidade Federal da Paraíba|Brazil
UFPB UPE|Universidade Federal da Paraíba|Brazil
UFPB/Areia|Universidade Federal da Paraíba|Brazil
UFPB/CAPES|Universidade Federal da Paraíba|Brazil
UFPB/CCA|Universidade Federal da Paraíba|Brazil
UFPB/UEPB|Universidade Federal da Paraíba|Brazil
UFPBÂ  - Universidade Federal da Paraíba|Universidade Federal da Paraíba|Brazil
UFPB-CCA|Universidade Federal da Paraíba|Brazil
UFPE  - Universidade Federal de Pernambuco|Universidade Federal de Pernambuco|Brazil
UFPE - Federal University of Pernambuco|Universidade Federal de Pernambuco|Brazil
UFPE - Universidade Federal de Pernambuco|Universidade Federal de Pernambuco|Brazil
UFPEÂ  - Universidade Federal de Pernambuco|Universidade Federal de Pernambuco|Brazil
UFPeI|Universidade Federal de Pernambuco|Brazil
UFPel - Federal University of Pelotas|Universidade Federal de Pelotas|Brazil
UFPel - Universidade Federal de Pelotas|Universidade Federal de Pelotas|Brazil
UFPel Campus Universitário|Universidade Federal de Pelotas|Brazil
UFPEL Pelotas|Universidade Federal de Pelotas|Brazil
UFPel.|Universidade Federal de Pelotas|Brazil
UFPEL/FAEM/DCTA|Universidade Federal de Pelotas|Brazil
UFPES|Universidade Federal de Pernambuco|Brazil
UFPI - Universidade Federal do Piauí|Universidade Federal do Piauí|Brazil
UFPR|Universidade Federal do Paraná|Brazil
UFPR - Federal University of Parana|Universidade Federal do Paraná|Brazil
UFPR - Universidade Federal do Paraná|Universidade Federal do Paraná|Brazil
UFPR -Federal University of Parana|Universidade Federal do Paraná|Brazil
UFPR, Av. Pref. Lothário Meissner|Universidade Federal do Paraná|Brazil
UFPr, leciona na Universidade Tuiuti do Paraná|Universidade Federal do Paraná|Brazil
UFPR,Depto. de Genética|Universidade Federal do Paraná|Brazil
UFPR.|Universidade Federal do Paraná|Brazil
UFPR/DAGA|Universidade Federal do Paraná|Brazil
UFPR/HT|Universidade Federal do Paraná|Brazil
UFPR/LPGA|Universidade Federal do Paraná|Brazil
UFPR/PR|Universidade Federal do Paraná|Brazil
UFRA Tapajós|Universidade Federal Rural da Amazônia|Brazil
UFRA/Embrapa AmazÃ´nia Oriental|UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA|Brazil
UFRA/Embrapa Amazônia Oriental|Universidade Federal Rural da Amazônia|Brazil
UFRA-ICA|Universidade Federal Rural da Amazônia|Brazil
UFRGS - Universidade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
UFRGS e FFFCMPA|Universidade Federal do Rio Grande do Sul|Brazil
UFRGS.|Universidade Federal do Rio Grande do Sul|Brazil
UFRGS/PUCRS|Universidade Federal do Rio Grande do Sul|Brazil
UFRGS/RS|Universidade Federal do Rio Grande do Sul|Brazil
UFRGSE|Universidade Federal do Rio Grande do Sul|Brazil
UFRJ|Universidade Federal do Rio de Janeiro|Brazil
UFRJ - Centro de Tecnologia|Universidade Federal do Rio de Janeiro|Brazil
UFRJ - Coppe/Lamce|Universidade Federal do Rio de Janeiro|Brazil
UFRJ - CT|Universidade Federal do Rio de Janeiro|Brazil
UFRJ - Federal University of Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
UFRJ - Universal Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
UFRJ - Universidade Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
UFRJ.|Universidade Federal do Rio de Janeiro|Brazil
UFRJ/COPPE PEMM|Universidade Federal do Rio de Janeiro|Brazil
UFRJ/EEAN|Universidade Federal do Rio de Janeiro|Brazil
UFRJ/Paris 7|Universidade Federal do Rio de Janeiro|Brazil
UFRJ-CAPES|Universidade Federal do Rio de Janeiro|Brazil
UFRJ-IBICT|Universidade Federal do Rio de Janeiro|Brazil
UFRJ-RJ|Universidade Federal do Rio de Janeiro|Brazil
UFRN|Universidade Federal do Rio Grande do Norte|Brazil
UFRN - Universidade Federal do Rio Grande do Norte|Universidade Federal do Rio Grande do Norte|Brazil
UFRN,|Universidade Federal do Rio Grande do Norte|Brazil
UFRN/DIMAp|Universidade Federal do Rio Grande do Norte|Brazil
UFRPE - Universidade Federal Rural de Pernambuco|Universidade Federal Rural de Pernambuco|Brazil
UFRPE/UAG|Universidade Federal Rural de Pernambuco|Brazil
UFRPE/UFC|Universidade Federal Rural de Pernambuco|Brazil
UFRPE/UFC/UFPB|Universidade Federal da Paraíba|Brazil
UFRPE-Unidade Adadêmica de Serra Talhada|Universidade Federal Rural de Pernambuco|Brazil
UFRR|Universidade Federal de Roraima|Brazil
UFRRJ|Universidade Federal Rural do Rio de Janeiro|Brazil
UFRRJ-|Universidade Federal Rural do Rio de Janeiro|Brazil
UFRRJ - Universidade Federal Rural do Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
UFRRJ/IB/DEnF|Universidade Federal Rural do Rio de Janeiro|Brazil
UFRuralRJ - Universidade Federal Rural do Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
-UFS-|Universidade Federal de Sergipe|Brazil
UFS - Federal University of Sergipe|Universidade Federal de Sergipe|Brazil
UFS - Universidade Federal de Sergipe|Universidade Federal de Sergipe|Brazil
UFSC  - Universidade Federal de Santa Catarina|Universidade Federal de Santa Catarina|Brazil
UFSC - Universidade Federal de Santa Catarina|Universidade Federal de Santa Catarina|Brazil
UFSC. Departamento de Saude|Universidade Federal de Santa Catarina|Brazil
UFSC/Fundação Getulio Vargas-RJ/UFPE|Universidade Federal de Pernambuco|Brazil
UFSC/SC|Universidade Federal de Santa Catarina|Brazil
UFSCa|Universidade Federal de Santa Catarina|Brazil
UFSCÂ  - Universidade Federal de Santa Catarina|UNIVERSIDADE FEDERAL DE SANTA CATARINA|Brazil
UFSCAR - Universidade Federal de São Carlos|Universidade Federal de São Carlos|Brazil
UFSCar/CCA|Universidade Federal de São Carlos|Brazil
UFSCar/SP|Universidade Federal de São Carlos|Brazil
UFSC-SC|Universidade Federal de Santa Catarina|Brazil
UFSE|Universidade Federal de Sergipe|Brazil
UFSM|Universidade Federal de Santa Maria|Brazil
UFSM - Campus Camobi|Universidade Federal de Santa Maria|Brazil
UFSM - Federal University of Santa Maria|Universidade Federal de Santa Maria|Brazil
UFSM - RS|Universidade Federal de Santa Maria|Brazil
UFSM - Universidade Federal de Santa Maria|Universidade Federal de Santa Maria|Brazil
UFSM. Santa Maria|Universidade Federal de Santa Maria|Brazil
UFSM/RS|Universidade Federal de Santa Maria|Brazil
UFSM/Unipampa|Universidade Federal de Santa Maria|Brazil
UFSMaria|Universidade Federal de Santa Maria|Brazil
UFSM-CCR|Universidade Federal de Santa Maria|Brazil
UFSMF|Universidade Federal de Santa Maria|Brazil
UFSM-RS|Universidade Federal de Santa Maria|Brazil
UFTM - UFTM - Universidade Federal do Triângulo Mineiro|Universidade Federal do Triângulo Mineiro|Brazil
UFTM - Universidade Federal do Triângulo Mineiro|Universidade Federal do Triângulo Mineiro|Brazil
UFTM School of Medicine|Universidade Federal do Triângulo Mineiro|Brazil
UFTM, Universidade Federal do Triângulo Mineiro|Universidade Federal do Triângulo Mineiro|Brazil
UFU - Federal University of Uberlândia|Universidade Federal de Uberlândia|Brazil
UFU â€“ Federal University of Uberlândia|Universidade Federal de Uberlândia|Brazil
UFU ââ‚¬â€œ Federal University of Uberlândia|UNIVERSIDADE FEDERAL DE UBERLÂNDIA|Brazil
UFV - Universidade Federal de Viçosa|Universidade Federal de Viçosa|Brazil
UFV/BIOAGRO|Universidade Federal de Viçosa|Brazil
UFV-Depto Biologia Vegetal|Universidade Federal de Viçosa|Brazil
UFV-Depto Fitotecnia|Universidade Federal de Viçosa|Brazil
UFV-DFT|Universidade Federal de Viçosa|Brazil
UFVJM - Universidade Federal dos Vales do Jequitinhonha e Mucuri|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
UFV-MG|Universidade Federal de Viçosa|Brazil
Uiversidade de São Paulo|Universidade de São Paulo|Brazil
Uiversidade Federal da Bahia|Universidade Federal da Bahia|Brazil
Uiversidade Federal de Lavras|Universidade Federal de Lavras|Brazil
Uiversidade Federal de São João del Rey|Universidade Federal de São João del Rei|Brazil
Uiversidade Federal do Mato Grosso do Sul|Universidade Federal de Mato Grosso do Sul|Brazil
Uiversidade Federal Rural do Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
UK Cochrane Center|The Cochrane Collaboration|Bahrain
ukurova Üniversitesi Rektörlü?ü |ukurova Üniversitesi Rektörlü?ü |Turkey
UL - Universidade de Lisboa|Universidade de Lisboa|Portugal
Uliversidade Estadual de Campinas|Universidade Estadual de Campinas|Brazil
UMC/ PUC-Campinas|Pontifícia Universidade Católica de Campinas|Brazil
UMC/PUC|Universidade de Mogi das Cruzes|Brazil
UMC/PUC-Campinas|Pontifícia Universidade Católica de Campinas|Brazil
UMC/USP/UNISA/UNICASTELO|Universidade de São Paulo|Brazil
UMCG Groningen| University Medical Center Groningen|Netherlands
Umeå Universitet|Umeå Universitet|Sweden
Umeå University|Umeå Universitet|Sweden
UMESP - Universidade Metodista de São Paulo|Universidade Metodista de São Paulo|Brazil
UMSP - Universidade Metodista de São Paulo|Universidade Metodista de São Paulo|Brazil
Umversidade Federal Fluminense|Universidade Federal Fluminense|Brazil
Un. São Paulo|Universidade de São Paulo|Brazil
UNAM Campus Iztacala|Universidad Nacional Autónoma de México|Mexico
UNAM Escuela Nacional de Antropología e Historia|Universidad Nacional Autónoma de México|Mexico
UNAM FES Iztacala|Universidad Nacional Autónoma de México|Mexico
UNAM, Cd. Universitaria Coyoacan|Universidad Nacional Autónoma de México|Mexico
UNAM, Iztacala|Universidad Nacional Autónoma de México|Mexico
UNAM,Instituto de Biotecnología|Universidad Nacional Autónoma de México|Mexico
UNAM.|Universidad Nacional Autónoma de México|Mexico
UNAM/UCD|Universidad Nacional Autónoma de México|Mexico
UNAMA|Universidad Nacional Autónoma de México|Mexico
UnB - Federal University of Brasília|Universidade de Brasília|Brazil
UnB - Universidade de Brasília|Universidade de Brasília|Brazil
UnB Asa Norte|Universidade de Brasília|Brazil
UNB, Campus Universitário Darcy Ribeiro/DF, Brazil|Universidade de Brasília|Brazil
UnB,Departamento de Ciência da Informação e Documentação|Universidade de Brasília|Brazil
UnB/ UFPB/UFPE/UFRN|Universidade Federal de Pernambuco|Brazil
UnB/UFPB/UFRN|Universidade de Brasília|Brazil
UnB/UFRN/UFPB|Universidade de Brasília|Brazil
UNC|Universidad Nacional de Córdoba|Argentina
UNC-CONICET|Consejo Nacional de Investigaciones Científicas y Técnicas|Argentina
undação Oswaldo Cruz|Fundação Oswaldo Cruz|Brazil
Undergraduate medical student at the Vale do Sapuca University(UNIVAS)|Universidade do Vale do Sapucaí|Brazil
Undergraduate Student of Physics at Pontificia Universidade Catolica de Sao Paulo (PUC-SP)|Pontifícia Universidade Católica de São Paulo|Brazil
UNEMAT|Universidade do Estado de Mato Grosso|Brazil
UNESCO - Organização das Nações Unidas para a Educação, Ciência e Cultura|Organizações das Nações Unidas para a Educação, Ciência e Cultura|Brazil
UNESP -  Universidade Estadual Paulista|Universidade Estadual Paulista|Brazil
UNESP - Araçatuba|Universidade Estadual Paulista|Brazil
UNESP - Assis|Universidade Estadual Paulista|Brazil
UNESP - Botucatu|Universidade Estadual Paulista|Brazil
UNESP - Campus Araçatuba|Universidade Estadual Paulista|Brazil
Unesp - Campus de Marília|Universidade Estadual Paulista|Brazil
UNESP - FCAV|Universidade Estadual Paulista|Brazil
UNESP - FE/G - DME|Universidade Estadual Paulista|Brazil
UNESP - FE/G - DMT|Universidade Estadual Paulista|Brazil
UNESP - IB|Universidade Estadual Paulista|Brazil
UNESP - Jaboticabal|Universidade Estadual Paulista|Brazil
UNESP - Jaboticabal, SP|Universidade Estadual Paulista|Brazil
Unesp - Marília|Universidade Estadual Paulista|Brazil
UNESP - Rio Claro|Universidade Estadual Paulista|Brazil
UNESP - São José dos Campos|Universidade Estadual Paulista|Brazil
UNESP - São Paulo State University|Universidade Estadual Paulista|Brazil
UNESP - State University of Maringá|Universidade Estadual Paulista|Brazil
UNESP  Univ Estadual Paulista|Universidade Estadual Paulista|Brazil
Unesp - Univ Estadual Paulista|Universidade Estadual Paulista|Brazil
UNESP - Univ Estadual Paulista, Campus de Rio Claro|Universidade Estadual Paulista|Brazil
UNESP  Univ. Estadual Paulista|Universidade Estadual Paulista|Brazil
UNESP - Univ. Estadual Paulista|Universidade Estadual Paulista|Brazil
UNESP - Universidade Estadual Paulista|Universidade Estadual Paulista|Brazil
UNESP - Universidade Estadual Paulista Julio de Mesquita Filho|Universidade Estadual Paulista|Brazil
UNESP - Universidade Estadual Paulista Júlio de Mesquita Filho|Universidade Estadual Paulista|Brazil
UNESP - Universidade Estadualista Paulista|Universidade Estadual Paulista|Brazil
Unesp (IEEI-Unesp)|Universidade Estadual Paulista|Brazil
UNESP / FCT|Universidade Estadual Paulista|Brazil
UNESP -Â  Universidade Estadual Paulista|Universidade Estadual Paulista|Brazil
UNESP Campus, Guaratinguetá|Universidade Estadual Paulista|Brazil
UNESP de Araraquara|Universidade Estadual Paulista|Brazil
UNESP 'Júlio de Mesquita Filho'|Universidade Estadual Paulista|Brazil
UNESP São José dos Campos|Universidade Estadual Paulista|Brazil
Unesp Unicamp PUC-SP|Universidade Estadual de Campinas|Brazil
UNESP- Universidade Estadual Paulista|Universidade Estadual Paulista|Brazil
UNESP Universidade Estadual Paulista Campus de Rio Claro|Universidade Estadual Paulista|Brazil
UNESP)|Universidade Estadual Paulista|Brazil
Unesp,|Universidade Estadual Paulista|Brazil
Unesp, Assis|Universidade Estadual Paulista|Brazil
Unesp, Campus de Araçatuba|Universidade Estadual Paulista|Brazil
UNESP, Campus de Botucatu|Universidade Estadual Paulista|Brazil
UNESP, campus de Jaboticabal|Universidade Estadual Paulista|Brazil
UNESP, campus de Marília|Universidade Estadual Paulista|Brazil
UNESP, Campus of Araçatuba|Universidade Estadual Paulista|Brazil
UNESP, Campus of Botucatu|Universidade Estadual Paulista|Brazil
UNESP, Jaboticabal|Universidade Estadual Paulista|Brazil
UNESP, Laboratório Multiusuário de Imunodiagnóstico|Universidade Estadual Paulista|Brazil
UNESP, São Paulo State University|Universidade Estadual Paulista|Brazil
UNESP, São Paulo State University, Botucatu, SP, Brazil.|Universidade Estadual Paulista|Brazil
UNESP,Campus de Araçatuba|Universidade Estadual Paulista|Brazil
UNESP,CEVAP|Universidade Estadual Paulista|Brazil
UNESP,Departamento de Biologia do Instituto de Biociências|Universidade Estadual Paulista|Brazil
Unesp/ Araraquara|Universidade Estadual Paulista|Brazil
Unesp/ Botucatu|Universidade Estadual Paulista|Brazil
Unesp/Ar|Universidade Estadual Paulista|Brazil
UNESP/Araçatuba|Universidade Estadual Paulista|Brazil
UNESP/Araraquara|Universidade Estadual Paulista|Brazil
Unesp/Bauru|Universidade Estadual Paulista|Brazil
UNESP/Botucatu|Universidade Estadual Paulista|Brazil
UNESP/CAUNESP|Universidade Estadual Paulista|Brazil
UNESP/FCA|Universidade Estadual Paulista|Brazil
UNESP/FCAV|Universidade Estadual Paulista|Brazil
Unesp/Franca|Universidade Estadual Paulista|Brazil
UNESP/IBB|Universidade Estadual Paulista|Brazil
Unesp/Ibilce|Universidade Estadual Paulista|Brazil
Unesp/Jaboticabal|Universidade Estadual Paulista|Brazil
Unesp/Marília|Universidade Estadual Paulista|Brazil
UNESP/Registro|Universidade Estadual Paulista|Brazil
Unesp-Araçatuba|Universidade Estadual Paulista|Brazil
UNESP-Araraquara|Universidade Estadual Paulista|Brazil
UNESP-Bauru|Universidade Estadual Paulista|Brazil
Unesp-Botucatu|Universidade Estadual Paulista|Brazil
Unesp-Campus de Botucatu|Universidade Estadual Paulista|Brazil
Unesp-Campus de Jaboticabal|Universidade Estadual Paulista|Brazil
Unesp-Caunesp|Universidade Estadual Paulista|Brazil
UNESP-Dracena|Universidade Estadual Paulista|Brazil
UNESP-FCA|Universidade Estadual Paulista|Brazil
UNESP-FCAV|Universidade Estadual Paulista|Brazil
UNESP-FEG|Universidade Estadual Paulista|Brazil
UNESP-IBILCE, Brasil|Universidade Estadual Paulista|Brazil
UNESP-Ilha Solteira|Universidade Estadual Paulista|Brazil
UNESP-Jaboticabal|Universidade Estadual Paulista|Brazil
Unesp-Marília|Universidade Estadual Paulista|Brazil
Unesp-Rio Claro|Universidade Estadual Paulista|Brazil
Unesp-São José do Rio Preto|Universidade Estadual Paulista|Brazil
UNESP-São Paulo State University|Universidade Estadual Paulista|Brazil
UNESP-TUPÃ|Universidade Estadual Paulista|Brazil
UNESP-TUPÃƒ|Universidade Estadual Paulista|Brazil
UNESP-UNIV Universidade Estadual Paulista|Universidade Estadual Paulista|Brazil
UNESP-Universidade Estadual Paulista|Universidade Estadual Paulista|Brazil
Uni3versidade Federal do Paraná|Universidade Federal do Paraná|Brazil
UNIANHANGUERA|Universidade Anhanguera|Brazil
União de Ensino Superior de Viçosa|União de Ensino Superior de Viçosa|Brazil
UNIARA - Centro Universitário de Araraquara|Centro Universitário de Araraquara|Brazil
UNIARARAS|Centro Universitário Hermínio Ometto|Brazil
UNICAMP|Universidade Estadual de Campinas|Brazil
UNICAMP - IMECC|Universidade Estadual de Campinas|Brazil
UNICAMP - State University of Campinas|Universidade Estadual de Campinas|Brazil
UNICAMP - Universidade de Campinas|Universidade Estadual de Campinas|Brazil
UNICAMP - Universidade Estadual de Campinas|Universidade Estadual de Campinas|Brazil
UNICAMP - University of Campinas|Universidade Estadual de Campinas|Brazil
UNICAMP - University of Campinas  Piracicaba|Universidade Estadual de Campinas|Brazil
UNICAMP, Campinas, SP|Universidade Estadual de Campinas|Brazil
UNICAMP/FEAGRI|Universidade Estadual de Campinas|Brazil
UNICAMP/FOP|Universidade Estadual de Campinas|Brazil
UNICAMP-SP|Universidade Estadual de Campinas|Brazil
UNICASTELO - Universidade Camilo Castelo Branco|Universidade Camilo Castelo Branco |Brazil
Unicastelo-Universidade Camilo Castelo Branco|Universidade Camilo Castelo Branco |Brazil
UNICENP-Centro Universitario Positivo|Universidade Positivo|Brazil
UNICID - University of São Paulo City|Universidade Cidade de São Paulo|Brazil
Unidad Provincial de Vigilancia y Lucha Antivectorial|Unidad Provincial de Vigilancia y Lucha Antivectorial|Cuba
Unidad Xochimilco (UAM-X)|Universidad Autónoma Metropolitana|Mexico
Unidade de Emergência Armando Lages|Unidade de Emergência Doutor Armando Lages|Brazil
Unidade de Emergência Doutor Armando Lages|Unidade de Emergência Doutor Armando Lages|Brazil
Unidade de Gastroenterologia do ICr HC FMUSP|Universidade de São Paulo|Brazil
Unidade Diferenciada de Dracena da Universidade Estadual Paulista|Universidade Estadual Paulista|Brazil
Unidade Universitaria da UEG de Ipora|Universidade Estadual de Goiás|Brazil
UNIDERP/Anhanguera|Universidade Anhanguera|Brazil
Uniderp-Anhanguera Agrárias|Universidade Anhanguera|Brazil
Unifal - Federal University of Alfenas|Universidade Federal de Alfenas|Brazil
UNIFAL - Universidade Federal de Alfenas|Universidade Federal de Alfenas|Brazil
UNIFAP|Universidade Federal do Amapá|Brazil
UNIFEI  - Universidade Federal de Itajubá|Universidade Federal de Itajubá|Brazil
UNIFEI - Universidade Federal de Itajubá|Universidade Federal de Itajubá|Brazil
UNIFEIÂ  - Universidade Federal de Itajubá|UNIVERSIDADE FEDERAL DE ITAJUBÁ|Brazil
UNIFESP - EPM|Universidade Federal de São Paulo|Brazil
UNIFESP - Escola Paulista de Medicina|Universidade Federal de São Paulo|Brazil
UNIFESP - Escola Paulista de Medicina São Paulo|Universidade Federal de São Paulo|Brazil
UNIFESP - Universal Federal de São Paulo|Universidade Federal de São Paulo|Brazil
UNIFESP - Universidade Federal de São Paulo|Universidade Federal de São Paulo|Brazil
UNIFESP / EPM|Universidade Federal de São Paulo|Brazil
UNIFESP- EPM|Universidade Federal de São Paulo|Brazil
UNIFESP, EPM|Universidade Federal de São Paulo|Brazil
UNIFESP/ EPM|Universidade Federal de São Paulo|Brazil
UNIFESP/EPM|Universidade Federal de São Paulo|Brazil
UNIFESP/Escola Paulista de Medicina|Universidade Federal de São Paulo|Brazil
UNIFESP/SP|Universidade Federal de São Paulo|Brazil
"Unifesp; CNPq"|Universidade Federal de São Paulo|Brazil
Unifesp-SP|Universidade Federal de São Paulo|Brazil
Unifesp-Universidade Federal de São Paulo|Universidade Federal de São Paulo|Brazil
Uniiversidade Federal de Campinas Grande|Universidade Federal de Campina Grande|Brazil
Uniiversidade Federal de S. Carlos|Universidade Federal de São Carlos|Brazil
UNIMED Maringá|Unimed Regional Maringá|Brazil
UNIMES/Santos/São Paulo-Brasil)|Universidade Metropolitana de Santos|Brazil
UNINCOR - Universidade Vale do Rio Verde|Universidade Vale do Rio Verde|Brazil
UNINCOR - Vale do Rio Verde University|Universidade Vale do Rio Verde|Brazil
Uniniversidade Federal de Santa Maria|Universidade Federal de Santa Maria|Brazil
UNINOVE - Centro Universitário Nove de Julho|Universidade Nove de Julho|Brazil
UNINOVE - Universidade Nove de Julho|Universidade Nove de Julho|Brazil
UNINOVE - Universidade Novede Julho|Universidade Nove de Julho|Brazil
UNINOVE University|Universidade Nove de Julho|Brazil
UNINOVE University Nove de Julho|Universidade Nove de Julho|Brazil
UNIOESTE - Universidade Estadual do Oeste do Paraná|Universidade Estadual do Oeste do Paraná|Brazil
UNIOESTE - Western Paraná State University|Universidade Estadual do Oeste do Paraná|Brazil
UNIP - Universidade Paulista|Universidade Paulista|Brazil
UNIP/IMAPES/PUC-SP|Pontifícia Universidade Católica de São Paulo|Brazil
UNIPAC|Universidade Presidente Antônio Carlos|Brazil
UNIPAC - Universidade Presidente Antônio Carlos|Universidade Presidente Antônio Carlos|Brazil
UNIP-RP|Universidade Paulista|Brazil
UNIP-SP|Universidade Paulista|Brazil
UNIRIO  - Universidade Federal do Estado do Rio de Janeiro|Universidade Federal do Estado do Rio de Janeiro|Brazil
UniRIO - Universidade Federal do Estado do Rio de Janeiro|Universidade Federal do Estado do Rio de Janeiro|Brazil
UNIRIOÂ  - Universidade Federal do Estado do Rio de Janeiro|UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO|Brazil
Unirsidade Estadual Paulista|Universidade Estadual Paulista|Brazil
UNISANTOS, Universidade Católica de Santos|Universidade Católica de Santos|Brazil
UNISUL - Universidade do Sul de Santa Catarina|Universidade do Sul de Santa Catarina|Brazil
UNISUL - University of South of Santa Catarina|Universidade do Sul de Santa Catarina|Brazil
Unit for the History of Medicine Oxford|Oxford University|United Kingdom
UNITRABALHO|Unitrabalho|Brazil
UNITRI|Centro Universitário do Triângulo|Brazil
Univ . Federal do Rio Grande do Sul Sarmento Leite|Universidade Federal do Rio Grande do Sul|Brazil
Univ . Federal Ruraldo Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Univ Austral de Chile|Universidad Austral de Chile|Chile
Univ Cidade de São Paulo - UNICID|Universidade Cidade de São Paulo|Brazil
Univ de Mogi das Cruzes|Universidade de Mogi das Cruzes|Brazil
Univ de Rio Verde|Universidade de Rio Verde|Brazil
Univ de São Paulo - FOUSP|Universidade de São Paulo|Brazil
Univ de Sao Paulo - USP|Universidade de São Paulo|Brazil
Univ de São Paulo - USP|Universidade de São Paulo|Brazil
Univ do Estado do Amazonas|Universidade do Estado do Amazonas|Brazil
Univ Estado de Mato Grosso|Universidade do Estado de Mato Grosso|Brazil
Univ Estadual de Campinas - UNICAMP|Universidade Estadual de Campinas|Brazil
Univ Estadual de Campinas -Unicamp|Universidade Estadual de Campinas|Brazil
Univ Estadual de Feira de Santana|Universidade Estadual de Feira de Santana|Brazil
Univ Estadual de Maringá|Universidade Estadual de Maringá|Brazil
Univ Estadual de Mato Grosso do Sul|Universidade Estadual de Mato Grosso do Sul|Brazil
Univ Estadual de Montes Claros|Universidade Estadual de Montes Claros|Brazil
Univ Estadual de Montes Claros - Unimontes|Universidade Estadual de Montes Claros|Brazil
Univ Estadual de Ponta Grossa|Universidade Estadual de Ponta Grossa|Brazil
Univ Estadual de Ponta Grossa - UEPG|Universidade Estadual de Ponta Grossa|Brazil
Univ Estadual de Ponta Grossa -UEPG|Universidade Estadual de Ponta Grossa|Brazil
Univ Estadual do Ceará|Universidade Estadual do Ceará|Brazil
Univ Estadual do Maranhão|Universidade Estadual do Maranhão|Brazil
Univ Estadual Paulista|Universidade Estadual Paulista|Brazil
Univ Estadual Paulista  UNESP|Universidade Estadual Paulista|Brazil
Univ Estadual Paulista - UNESP|Universidade Estadual Paulista|Brazil
Univ Estadual Paulista Júlio de Mesquita Filho|Universidade Estadual Paulista|Brazil
Univ Estadual Paulista- Unesp|Universidade Estadual Paulista|Brazil
Univ Estadual Paulista, Campus de Rio Claro|Universidade Estadual Paulista|Brazil
Univ Federal da Bahia - UFBA|Universidade Federal da Bahia|Brazil
Univ Federal da Grande Dourados|Universidade Federal da Grande Dourados|Brazil
Univ Federal da Paraíba - UFPB|Universidade Federal da Paraíba|Brazil
Univ Federal da Paraíba- UFPB|Universidade Federal da Paraíba|Brazil
Univ Federal de Alagoas|Universidade Federal de Alagoas|Brazil
Univ Federal de Juiz de Fora|Universidade Federal de Juiz de Fora|Brazil
Univ Federal de Juiz de Fora - UFJF|Universidade Federal de Juiz de Fora|Brazil
Univ Federal de Lavras|Universidade Federal de Lavras|Brazil
Univ Federal de Lavras - UFLA|Universidade Federal de Lavras|Brazil
Univ Federal de Mato Grosso do Sul|Universidade Federal de Mato Grosso do Sul|Brazil
Univ Federal de Minas Gerais - UFMG Belo Horizonte|Universidade Federal de Minas Gerais|Brazil
Univ Federal de Pelotas - UFPel|Universidade Federal de Pelotas|Brazil
Univ Federal de Pernambuco|Universidade Federal de Pernambuco|Brazil
Univ Federal de Santa Catarina - UFSC|Universidade Federal de Santa Catarina|Brazil
Univ Federal de Santa Maria - UFSM|Universidade Federal de Santa Maria|Brazil
Univ Federal de Uberlandia|Universidade Federal de Uberlândia|Brazil
Univ Federal de Uberlândia|Universidade Federal de Uberlândia|Brazil
Univ Federal de Uberlândia,|Universidade Federal de Uberlândia|Brazil
Univ Federal do Amapá|Universidade Federal do Amapá|Brazil
Univ Federal do Amazonas|Universidade Federal do Amazonas|Brazil
Univ Federal do Amazonas Manaus|Universidade Federal do Amazonas|Brazil
Univ Federal do Ceará - UFC|Universidade Federal do Ceará|Brazil
Univ Federal do Espírito Santo|Universidade Federal do Espírito Santo|Brazil
Univ Federal do Estado do Rio de Janeiro|Universidade Federal do Estado do Rio de Janeiro|Brazil
Univ Federal do Estado do Rio de Janeiro - Unirio|Universidade Federal do Estado do Rio de Janeiro|Brazil
Univ Federal do Maranhão - UFMA|Universidade Federal do Maranhão|Brazil
Univ Federal do Oeste do Pará|Universidade Federal do Pará|Brazil
Univ Federal do Pará|Universidade Federal do Pará|Brazil
Univ Federal do Paraná - UFPr|Universidade Federal do Paraná|Brazil
Univ Federal do Recôncavo da Bahia|Universidade Federal do Recôncavo Baiano|Brazil
Univ Federal do Rio de Janeiro - UFRJ|Universidade Federal do Rio de Janeiro|Brazil
Univ Federal do Rio Grande do Norte|Universidade Federal do Rio Grande do Norte|Brazil
Univ Federal do Rio Grande do Norte - UFRN|Universidade Federal do Rio Grande do Norte|Brazil
Univ Federal do Rio Grande do Sul - UFRGS|Universidade Federal do Rio Grande do Sul|Brazil
Univ Federal do Tocantins|Universidade Federal do Tocantins|Brazil
